Diameter: 21
Node 192: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 193: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 194: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 195: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 196: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 197: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 198: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 199: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 200: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 201: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 202: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 203: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 204: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 205: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 206: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 207: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 208: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 209: Maximum Distance - 17, Nodes at Max Distance: 1453 1480 1638
Node 210: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 211: Maximum Distance - 17, Nodes at Max Distance: 1453 1480 1638
Node 212: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 213: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 214: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638
Node 215: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 216: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 217: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 218: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 219: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 220: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 221: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 222: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 223: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 224: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 225: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 226: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 227: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 228: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 229: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 230: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 231: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 232: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 233: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 234: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 235: Maximum Distance - 18, Nodes at Max Distance: 1453 1480 1638
Node 236: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 237: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 238: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 239: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 240: Maximum Distance - 18, Nodes at Max Distance: 1453 1480 1638
Node 241: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 242: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 243: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 244: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 245: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 246: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 247: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 248: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 249: Maximum Distance - 18, Nodes at Max Distance: 599 1118 1226 1873
Node 250: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 251: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 252: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 253: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 254: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 255: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 256: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 257: Maximum Distance - 18, Nodes at Max Distance: 599 1118 1226 1873
Node 258: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 259: Maximum Distance - 19, Nodes at Max Distance: 599 1118 1226 1873
Node 260: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 261: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 262: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 263: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 264: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 265: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 266: Maximum Distance - 17, Nodes at Max Distance: 1453 1480 1638
Node 267: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 268: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 269: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 270: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
